continent	country	intercept	slope	residSigma
1	Americas	United States	-14.2526517039291	8.67669931841851	0.570964908179877
2	Europe	Norway	32.2078095975523	4.33420530346388	0.657892016414982
3	Asia	Singapore	16.4308812929338	5.8667468435203	0.945019875239735
4	Europe	Switzerland	-63.090731812896	13.6303103867355	1.24671669606091
5	Europe	Bosnia and Herzegovina	-14.5468287149149	10.2848798192394	2.25815369629739
6	Africa	Burundi	-16.1733672857372	9.93948019916848	2.52071075345275
7	Americas	Dominican Republic	-79.3818607961608	17.9399339520363	2.95787600026701
8	Africa	Congo, Dem. Rep.	51.1189642561739	-1.03115429739994	2.96069744104124
9	Asia	Kuwait	202.701945286456	-12.2093395457159	4.20806269895086
10	Africa	South Africa	-88.7516033174066	16.0899144171877	4.66493343341552
11	Americas	Haiti	252.699709596321	-27.4523782493705	5.74831327430909
12	Asia	Myanmar	-36.9355684791892	14.956484317284	7.32141983965056
